episode,steps,reward,avg_reward_100,success_rate_100,epsilon,avg_loss,aligned
166,800,-261544.5932,-195641.0055,0.0000,0.7477,279.661791,0
167,800,-14323.6845,-188129.2641,0.0000,0.7462,283.638999,0
168,800,-743519.9663,-194156.5705,0.0000,0.7446,284.650476,0
169,800,-666876.7710,-200814.8840,0.0000,0.7431,273.896180,0
170,800,7795.0928,-200800.7072,0.0000,0.7416,259.004010,0
171,800,8081.7509,-193156.0521,0.0000,0.7401,271.889084,0
172,800,12408.9276,-193090.1038,0.0000,0.7386,268.706726,0
173,800,-800505.0000,-201426.2920,0.0000,0.7370,271.073558,0
174,800,-475997.5228,-205121.4581,0.0000,0.7355,254.938831,0
175,800,18176.9991,-196933.7881,0.0000,0.7340,256.861898,0
176,800,-184920.1788,-198795.6192,0.0000,0.7325,255.527732,0
177,800,24991.1440,-198600.6270,0.0000,0.7310,275.579778,0
178,800,25271.1495,-193813.8541,0.0000,0.7294,264.135166,0
179,800,-81468.9110,-186950.5975,0.0000,0.7279,255.064870,0
180,800,-102463.9953,-186835.7098,0.0000,0.7264,258.692061,0
181,800,-51366.8964,-187353.0566,0.0000,0.7249,266.595963,0
182,800,-135756.1424,-184457.3329,0.0000,0.7234,257.878335,0
183,800,-800490.0000,-187271.6385,0.0000,0.7218,260.872919,0
184,800,8734.2220,-187357.5231,0.0000,0.7203,267.358617,0
185,800,-204601.1704,-185145.3442,0.0000,0.7188,254.668413,0
186,800,-350301.4383,-180662.0529,0.0000,0.7173,258.885705,0
187,800,4209.7027,-180641.3120,0.0000,0.7158,247.913584,0
188,800,20775.4278,-180562.4883,0.0000,0.7142,257.243525,0
189,800,-161198.9271,-182214.8811,0.0000,0.7127,253.510515,0
190,800,-388258.2644,-181103.5356,0.0000,0.7112,262.704002,0
191,800,-263400.8337,-183707.7992,0.0000,0.7097,254.908454,0
192,800,14769.2279,-175983.8546,0.0000,0.7082,250.503859,0
193,800,-800525.0000,-184038.4274,0.0000,0.7066,254.799994,0
194,800,-327784.1226,-187546.7268,0.0000,0.7051,256.254940,0
195,800,-107287.1390,-188681.2468,0.0000,0.7036,263.547490,0
196,800,13573.8035,-186050.3176,0.0000,0.7021,256.179129,0
197,800,-111966.0290,-184183.6172,0.0000,0.7006,264.025980,0
198,800,-5288.0901,-184327.2055,0.0000,0.6990,235.817649,0
199,800,-353999.6373,-187922.4707,0.0000,0.6975,248.895931,0
200,800,10716.4685,-185284.7728,0.0000,0.6960,237.953163,0
201,800,5922.4261,-184201.1894,0.0000,0.6945,265.499846,0
202,800,-800370.0000,-184199.5394,0.0000,0.6930,266.311156,0
203,800,-8370.9007,-176635.7544,0.0000,0.6914,250.095347,0
204,800,-76198.1712,-175787.6954,0.0000,0.6899,259.902520,0
205,800,5485.0101,-174935.0756,0.0000,0.6884,256.971095,0
206,800,-100942.3389,-174140.7997,0.0000,0.6869,261.495254,0
207,800,-212812.4737,-176320.7689,0.0000,0.6854,257.897559,0
208,800,-800485.0000,-178339.0991,0.0000,0.6838,239.889531,0
209,800,5399.2015,-170805.5840,0.0000,0.6823,239.886676,0
210,800,5522.2357,-170931.6550,0.0000,0.6808,235.165715,0
211,800,14849.4480,-168319.5275,0.0000,0.6793,234.875356,0
212,800,21992.2707,-168307.7173,0.0000,0.6778,250.413178,0
213,800,8183.7646,-160807.1413,0.0000,0.6762,244.740938,0
214,800,8413.2212,-152718.3591,0.0000,0.6747,251.773799,0
215,800,1750.1150,-152738.2632,0.0000,0.6732,233.353016,0
216,800,-428780.7048,-157012.9516,0.0000,0.6717,235.829145,0
217,800,-23594.2001,-157462.6610,0.0000,0.6702,244.199987,0
218,800,-39796.6705,-154703.1164,0.0000,0.6686,226.833989,0
219,800,61542.7652,-154209.7514,0.0000,0.6671,253.398182,0
220,800,-290085.0661,-156608.7205,0.0000,0.6656,235.489245,0
221,800,12494.0785,-154423.3864,0.0000,0.6641,249.289852,0
222,800,13743.2896,-154366.7999,0.0000,0.6626,219.256236,0
223,800,-129523.2758,-154473.9696,0.0000,0.6610,242.893513,0
224,800,9959.4116,-154496.6736,0.0000,0.6595,247.961321,0
225,800,30863.0814,-153419.6913,0.0000,0.6580,253.379305,0
226,800,23783.8581,-152560.1997,0.0000,0.6565,254.439448,0
227,800,-531088.5278,-158004.5059,0.0000,0.6550,235.408257,0
228,800,6127.6567,-157972.8212,0.0000,0.6534,229.045942,0
229,800,6948.1427,-157020.8666,0.0000,0.6519,235.578066,0
230,800,-254752.4671,-151562.9413,0.0000,0.6504,243.534326,0
231,800,-226923.7679,-153824.5048,0.0000,0.6489,234.591163,0
232,800,7423.9534,-153785.9129,0.0000,0.6474,234.167588,0
233,800,-396904.3278,-157817.3746,0.0000,0.6458,237.164740,0
234,800,-60468.5199,-158310.7370,0.0000,0.6443,258.057312,0
235,800,-510036.9507,-163592.1010,0.0000,0.6428,243.137714,0
236,800,99.3607,-162159.9501,0.0000,0.6413,247.764049,0
237,800,-6272.0116,-162342.1441,0.0000,0.6398,243.938759,0
238,800,-126176.7336,-163603.2147,0.0000,0.6382,230.695090,0
239,800,-6001.5341,-160731.3639,0.0000,0.6367,239.561568,0
240,800,-52877.1162,-161349.6918,0.0000,0.6352,231.905098,0
241,800,18888.2082,-161189.1937,0.0000,0.6337,233.705080,0
242,800,21901.2618,-161040.0103,0.0000,0.6322,227.318978,0
243,800,-42322.8748,-161556.7306,0.0000,0.6306,221.609275,0
244,800,-800495.0000,-168939.3275,0.0000,0.6291,238.508910,0
245,800,8227.7480,-169025.8949,0.0000,0.6276,230.881833,0
246,800,13415.0771,-167671.6078,0.0000,0.6261,235.511155,0
247,800,1191.7493,-166536.6573,0.0000,0.6246,234.027647,0
248,800,-800400.0000,-174782.4627,0.0000,0.6230,225.105896,0
249,800,-319804.9080,-178043.6095,0.0000,0.6215,229.588685,0
250,800,27661.9403,-176601.7524,0.0000,0.6200,224.367482,0
251,800,23615.5211,-174393.6424,0.0000,0.6185,221.446990,0
252,800,17471.1250,-172647.3012,0.0000,0.6170,228.802000,0
253,800,-40742.8650,-173231.9907,0.0000,0.6154,220.726065,0
